(No modificar) Número de OT;(No modificar) Suma de comprobación de fila;(No modificar) Fecha de modificación;Número de orden de trabajo;Fecha de creación;Hora Final SLA;Tipo de incidente principal;VIP (Caso) (Caso);SLA;Walver (Caso) (Caso);Terminal;Denominación;Calle 1;Ciudad;Código postal;Domicilio de la terminal;Estado o provincia;Latitud;Longitud;Modelo del terminal;Zona de servicio
319dcca5-530f-ee11-8f6e-0022483837ce;0P2XZV7i1OtFNvBnrwoSVUszKojQOzwWIRkW0sQUi/I6DSVDyRVXj/f5T5MKLsGmJeaC2LIV5PhwAVQwI8VtUg==;20/06/2023 10:18;OT-LAP2120764;20/06/2023 7:17;20/06/2023 21:00;Insumos papel;Sí;Lapos OT VIP - Ciudad v2;No;34034430;CASAPAN CAFE;SANTA FE 499;SAN MIGUEL DE TUCUMAN;4000;SANTA FE 499;TUCUMAN;-26,82030;-65,20073;VE_390_PP101_P250;Ciudad
d8b78474-080f-ee11-8f6e-00224838333c;q+BU50AVj/4P4YxDGLRYxQ5dqIyhCHkwybdW0w1JD7W6ggRpR7yFNeDXK/RVyeJFlZwP/uzFKJcbqsWzRpGvNg==;20/06/2023 1:19;OT-LAP2120762;19/06/2023 22:19;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Ciudad v2;No;16124576;FRANQUICIA PATAGONIA;SARMIENTO 240;SAN SALVADOR DE JUJUY;4600;SARMIENTO 240;JUJUY;-24,18572;-65,30016;N910;Ciudad
2e522e60-e30e-ee11-8f6e-002248e0d691;zj8SKVfDj30BBFiUtTerx4efojh1Rw7hUP027dKe/4FaeKckbzjNztvWCtdfAcu9TcleynXPZlOprnq7d87JKw==;19/06/2023 20:54;OT-LAP2120717;19/06/2023 17:53;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;34082754;LA DISTRIBUIDORA SRL;RUTA NAC NRO 9 KM 1671;PERICO DEL CARMEN;4603;RUTA NAC NRO 9 KM 1671;JUJUY;;;VE_390_PP101_P250;Rural
877599c5-c70e-ee11-8f6e-002248e0d68a;4/s5QiX3SMk5bCmXY40z5yOHB3RlB0CXaH64MeuI/6QcnoXWQh0jVvH5axlEXF2IlKvYGK4+9XLS0DNy5hztVQ==;19/06/2023 17:36;OT-LAP2120689;19/06/2023 14:36;20/06/2023 14:36;Falla técnica;Sí;Lapos OT VIP - Ciudad v2;No;47401734;LA LUGUENZE;AV BRIGIDO TERAN 700;SAN MIGUEL DE TUCUMAN;4000;AV BRIGIDO TERAN 700;TUCUMAN;-26,84274;-65,19683;VE_390_PP101_P250;Ciudad
7db79d6a-c40e-ee11-8f6e-002248d2defa;2kgdH5t74RtkLUH1h3HaII72VF5mP9tkuwjTL6E673HNJPf6WC7RXxv1yhrV3j71suMYGXUEWSPrWRPZ8Jv5/g==;19/06/2023 17:12;OT-LAP2120683;19/06/2023 14:12;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Ciudad v2;No;16258218;OH! PIZZA RESTo               ;GRAL. GuEMES 192;SALTA;4400;GRAL. GuEMES 192;SALTA;;;N910;Ciudad
ca3e2857-c00e-ee11-8f6e-002248e0d691;ggfgOKzGU45hCgGlDMZXIZefaYpcErGyvCSitSDFa3+VK4pWgy3d8l0IzjjSU2p4zI1sk7ormQ20A+Bdux0eVQ==;19/06/2023 16:43;OT-LAP2120674;19/06/2023 13:42;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;18054948;DESPENSA MONICA;LAMADRID 145;ALDERETES;4178;LAMADRID 145;TUCUMAN;-26,80805;-65,14249;VE_VX690_WIFI_3G;Rural
584c2c04-c00e-ee11-8f6e-002248e05acc;aqWBZOrRAvrDq6vHH/LXLS9nILAONSvjs/GPFvpw0/aXWBHn4pe/Drz9IFXD4o4H+8/7cu0CplEBboHpOAzMuQ==;19/06/2023 16:41;OT-LAP2120673;19/06/2023 13:40;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;47450884;GRIDO;Av Pte Peron Mzna 116 Lote 15;LEDESMA;4512;Av Pte Peron Mzna 116 Lote 15;JUJUY;;;VE_390_PP101_P250;Rural
c16f0568-b10e-ee11-8f6e-0022483837ce;FPSiQ0bsTqKlLzGIGpZ1d+OSh6l0v/Z+uJlsmnRq8wm/GX/CeKrHgIKkbwuDLrZQcKGdS3TMUc4+Rm15AwMerg==;19/06/2023 14:56;OT-LAP2120638;19/06/2023 11:56;20/06/2023 11:56;Insumos papel;Sí;Lapos OT VIP - Ciudad v2;No;16329732;SUPERMERCADOS COMODIN;Ricardo Balbin 2228 Barrio Bajo La Viña 0;JUJUY;4600;Ricardo Balbin 2228 Barrio Bajo La Viña 0;JUJUY;;;N910;Rural
fbe24d56-ae0e-ee11-8f6e-002248e0d68a;KL7YSoFr99NQH/v7ItuA6/Sdh42GdJvq1rK+Yv/VzuCWGXymfBI0UbVWiRAIR+IKbgNUFenYrFqcZLfPBxS4Hw==;19/06/2023 14:34;OT-LAP2120632;19/06/2023 11:34;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;34282531;LOS HNOS CRUZ AVICOLA Y CARNIC;Av Hipolito Irigoyen 482;LIBERTADOR GENERAL SAN MARTIN;4512;Av Hipolito Irigoyen 482;JUJUY;-23,81464;-64,78824;PAX_S920;Rural
0289bd7a-ad0e-ee11-8f6e-002248383caa;lW95JivUWzmmA6bn3LSJn+0LG6xgOg0+TTO1A2vJP4LiKXBIB7ZKC0TMRSJz/jP4uMpngFKpVQLQCVwTVZVVoQ==;19/06/2023 14:28;OT-LAP2120627;19/06/2023 11:28;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Ciudad v2;No;47045655;VINERIA CANDE                 ;MANUELA G DE TODD 1150;SALTA;4400;MANUELA G DE TODD 1150;SALTA;-24,80501;-65,40263;VE_390_PP101_P250;Ciudad
c711eb17-ac0e-ee11-8f6e-002248383558;qYr+AtbwynbIqHzJu+faiUUz0CZUeQ/smcKHccJjqx00x533TUFg+3ZfCYRiK4714MqqZGf7dwdKPIhIwYz17Q==;19/06/2023 14:18;OT-LAP2120624;19/06/2023 11:18;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Ciudad v2;No;34254678;VINERIA CANDE                 ;MU?OZ CABRERA 103;SALTA;4400;MU?OZ CABRERA 103;SALTA;-24,82056;-65,39301;PAX_S920;Ciudad
1c634461-9b0e-ee11-8f6e-0022483837ce;7REH5nlO0X72wJFSLag2AGq9qtESR5sfzit48BGbqkmqKRKrK81PhxZ3i/Jx5JdM4C8rNDOsZgwf/H62Tspb7g==;19/06/2023 12:18;OT-LAP2120567;19/06/2023 9:18;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Ciudad v2;No;16093226;MINIMARKET LOS HNOS;NAHUEL HUAPI 0;LA RIOJA;5300;NAHUEL HUAPI 0;LA RIOJA;;;N910;Ciudad
e9b916ab-8e0e-ee11-8f6e-00224838333c;HgAlFaLioF/amc1W1SFLDM2evUTg32AD1gh8FFm2fk4FujAACIVebEIUBiw5tw6XF8tMEwXQ579T/1MA9NrNdA==;19/06/2023 10:48;OT-LAP2120549;19/06/2023 7:47;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Rural v2;No;34024242;KIOSKO AEROPUERTO             ;AEROPUERTO TUCUMAN;CEVIL POZO;4178;AEROPUERTO TUCUMAN;TUCUMAN;;;VE_390_PP101_P250;Rural
5c03add2-290e-ee11-8f6e-000d3ac16caf;lKV0bkVKLfi3l21S5NpiYWN1ZerfXIVKExIDu+LCxbK++sI1Vfp0zaSfGVWTcjFKScl2FySqT5YF+TUGhleHGQ==;19/06/2023 18:12;OT-LAP2120532;18/06/2023 19:45;20/06/2023 19:45;Falla técnica;Sí;Lapos OT VIP - Rural v2;No;34033594;LA LUGUENZE;RUTA 38 KM 736-738;ALTO VERDE;4153;RUTA 38 KM 736-738;TUCUMAN;;;VE_390_PP101_P250;Rural
42aec0e6-f00d-ee11-8f6e-002248e0d691;IH+B76GirZXn2wILFauuwtRQ7WKJ1by8gFRZJNhZneM7AWYhNjcaGhomZTU+VspKLJqY/AMz+wbMv4rGq9uMnQ==;18/06/2023 15:58;OT-LAP2120506;18/06/2023 12:58;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;34135943;ALMACEN LA ESQUINA;MAR ARABIGO 1095;SALTA;4400;MAR ARABIGO 1095;SALTA;;;VE_390_PP101_P250;Ciudad
